,description,Address,Price,Bedroom,Bathroom,Toilet,date,State,Location
7774,Brand New Exquisitely Built 4 Bedroom Terrace For Sale, Victoria Garden City Lekki Lagos ,60000000,4,4,5,2023-05-26,Lagos,Lekki
7775,Newly Completed 5 Bedroom Detached Home For Sale, Ologolo Lekki Lagos ,135000000,5,5,6,2023-05-26,Lagos,Lekki
7776,Affordable 3 Bedroom Terrace Duplex In A Shared Compound," Pentagon Court Phase 5, Ikota, Lekki, Lagos Ikota Lekki Lagos ",55000000,3,3,4,2023-05-27,Lagos,Lekki
7777,Brand New 5 Bedroom Detached Duplex House With A 2 Room Bq For Sale In Old Ikoyi, Old Ikoyi Ikoyi Ikoyi Lagos ,900000000,5,5,0,2023-05-26,Lagos,Ikoyi
7778,Lekki Phase 1 Affordable Dupex, Lekki Phase 1 Affordable Luxury Duplex Wt Bq Lekki Phase 1 Lekki Lagos ,165000000,4,6,0,2023-05-26,Lagos,Lekki
7779,The Ambiance 2.0," Inside Moremi Scheme, Oko Ado Ajah, Behind Lagos Business School Ajah Lagos ",78000000,4,0,0,2023-05-26,Lagos,Ajah
7780,Spacious 4 Bedroom Terrace For Sale, Lekki Phase 1 Lekki Lagos ,120000000,4,4,5,2023-05-26,Lagos,Lekki
7781,Waterfront 5 Bedroom Fully Detached Duplex With 2rm Bq, Ikoyi Lagos ,750000000,5,8,8,2023-05-26,Lagos,Ikoyi
7782,Lekki 2 Luxury 4 Bed Fully Detached Duplex, Lekki 2 Luxury 4 Bed Detached Duplex Lekki Phase 2 Lekki Lagos ,67000000,4,5,0,2023-05-26,Lagos,Lekki
7783,Fantastic 4 Bedroom Semi Detached Duplex, Ikota Luxury 4bed Duplex Ikota Lekki Lagos ,68000000,4,6,6,2023-05-26,Lagos,Lekki
7784,Brand New Super Luxury 5 Bedroom Semi Detached, Lekki Phase 1 Lekki Lagos ,350000000,5,5,6,2023-05-26,Lagos,Lekki
7785,Spacious 4 Bedroom Terrace, Victoria Island Victoria Island Lagos ,165000000,4,4,5,2023-05-26,Lagos,Island
7786,Affordable 4bedroom Duplex, Ikate Elegushi Ikate Elegushi Lekki Lagos ,120000000,4,4,4,2023-05-26,Lagos,Lekki
7787,Spacious 3bedrooms, Lekki County Eatate Ikota Lekki Lagos ,55000000,3,3,4,2023-05-26,Lagos,Lekki
7788,Lovely 5bedroom Semi Detached Duplex, Don’t Miss This 5bedroom Duplex With Swimming Pool And Cinema Osapa Lekki Lagos ,280000000,5,0,0,2023-05-28,Lagos,Lekki
7789,4bedroom Terrace Duplex For Sale, Lekki Phase 1 Lekki Lagos ,220000000,4,4,5,2023-05-26,Lagos,Lekki
7790,3 Bedroom Terrace Duplex, Osapa Lekki Lagos ,180000000,3,3,4,2023-05-26,Lagos,Lekki
7791,Astonishingly Finished Fully A4 Bed Terrace Duplex, Ikeja Lagos ,140000000,4,0,0,2023-05-26,Lagos,Ikeja
7792,Newly Built 5 Bedroom Fully Detached Duplex For Sale In Ikota, Ikota Ikota Lekki Lagos ,80000000,5,5,0,2023-05-26,Lagos,Lekki
7793,Newly Built Luxurious 5bredrooms Fully Detached, Ikeja Gra Ikeja Lagos ,260000000,5,5,6,2023-05-26,Lagos,Ikeja
7794,Newly Built 4bedroom Semi Detached Duplex For Sale In Lekki Phase1, Lekki Phase 1 Lekki Lagos ,210000000,4,4,5,2023-05-26,Lagos,Lekki
7795,Fully Luxury Contemporary 4bedroom Terrace, Lekki Phase 1 Lekki Lagos ,18000000,4,4,5,2023-05-26,Lagos,Lekki
7796,Brand New 4 Bedroom Terrace Duplex, Orchid Road Ikota Lekki Lagos ,65000000,4,4,5,2023-05-26,Lagos,Lekki
7797,"Lekki 5 Fully Detached Duplex, Swimming Pool", Lekki Luxury 5bed Detach Duplex Wt Swimming Pool Jakande Lekki Lagos ,270000000,5,8,0,2023-05-26,Lagos,Lekki
7798,Spacious 4 Bedroom Terrace In An Estate, 2nd Toll Gate Lekki Lagos ,4000000,4,0,0,2023-05-29,Lagos,Lekki
7799,4 Bedroom Duplex," Off Ada George Road, •ph. Rivers State 5 Mins Drive From Cov Wire's House Port Harcourt Port Harcourt Rivers ",100000000,4,4,5,2023-05-26,Rivers,Harcourt
7800,Fully Furnished 4 Bedroom Terrance Duplex, Fully Furnished Ikota Lekki Lagos ,65000000,4,4,5,2023-05-26,Lagos,Lekki
7801,4 Bedroom Semi Detached Duplex With Bq, Royal Plan Apo Abuja Phase 2 Abuja ,98500000,4,4,5,2023-05-26,Abuja,2
7802,4 Bedroom Terrance Duplex, Brand New Victoria Garden City Lekki Lagos ,60000000,4,4,5,2023-05-26,Lagos,Lekki
7803,4 Bedroom Semi Detached Duplex With Bq, Brand New Chevron Drive Lekki Lagos ,85000000,4,4,5,2023-05-26,Lagos,Lekki
7804,4 Bedroom Terrance Duplex, 2nd Tollgate Lekki Lafiaji Lekki Lagos ,70000000,4,4,5,2023-05-26,Lagos,Lekki
7805,5 Bedroom Fully Detached Duplex, Brand New Chevron Drive Lekki Lagos ,130000000,5,5,6,2023-05-26,Lagos,Lekki
7806,Luxury 5 Bedroom Fully Detached Duplex With Bq, Luxury 5 Bedroom Detached Duplex With Bq At Ikoyi Ikoyi Ikoyi Lagos ,650000000,5,5,6,2023-05-26,Lagos,Ikoyi
7807,Luxury Built 3 Bedroom Apartment Available At Chevy Castle Apartment Chevron Drive Lekki, Chevy Castle Apartment Chevron Drive Lekki A Place Design For Kings And Queens Chevron Drive Lekki Lagos ,80000009,3,4,4,2023-05-26,Lagos,Lekki
7808,4 Bedroom Terrance Duplex, Pantheon Smart Terrances Orchid Road Lafiaji Lekki Lagos ,62000000,4,4,5,2023-05-26,Lagos,Lekki
7809,2 Bedroom Terrance With Bq, Urban Court Located At General Paint Besides Lekki Garden Sangotedo Ajah Lagos ,43000000,2,2,3,2023-05-26,Lagos,Ajah
7810,Newly Built 4 Bedroom Detached Duplex, Ikota Lekki Lagos ,105000000,4,4,5,2023-05-27,Lagos,Lekki
7811,3 Bedroom Terrance With Bq, Urban Court Located At General Paint Sangotedo Ajah Lagos ,58000000,3,3,4,2023-05-26,Lagos,Ajah
7812,4 Bedroom Terrace Triplex With Bq Gym And Study Room, Camberwall Advantage 5 Off Freedom Way Lekki Phase 1 Lekki Lagos ,180000000,4,4,5,2023-05-26,Lagos,Lekki
7813,2 Bedroom Apartment With Bq, Camberwall Advantage 5 Off Freedom Way Lekki Phase 1 Lekki Lagos ,80000000,2,2,3,2023-05-26,Lagos,Lekki
7814,4 Bedroom Semi Detached Duplex With Bq, Secured Estate And Spacious Compound Ajah Ajah Lagos ,80000000,4,4,5,2023-05-26,Lagos,Ajah
7815,1 Bedroom Fully Furnished Apartment, Fully Serviced Ologolo Lekki Lagos ,45000000,1,1,2,2023-05-26,Lagos,Lekki
7816,5 Bedroom Fully Detached Duplex With Bq," Maven Court Westend Estate, Off Lekki County Homes, Ikota, Lekki, Ikota Lekki Lagos ",150000000,5,5,6,2023-05-26,Lagos,Lekki
7817,4 Bedroom Semi Detached Duplex With Bq, Bosmak Haven Harris Drive Victoria Garden City Lekki Lagos ,78500000,4,4,4,2023-05-26,Lagos,Lekki
7818,3 Bedroom Semi Detached Duplex, Diana Pearl Now Selling Isheri North Gra Isheri Abeokuta Express Lagos ,62500000,3,3,4,2023-05-26,Lagos,Express
7819,2 Bedroom Terrance With Bq, Peak Luxury Monastery Road Sangotedo Ajah Lagos ,40000000,2,2,3,2023-05-26,Lagos,Ajah
7820,3 Units Of Executive 5 Bedroom Fully Detached Duplex With Swimming Area, Osapa Lekki Lagos ,370000000,5,5,6,2023-05-29,Lagos,Lekki
7821,Luxury 5 Bedroom Terrace, The Signature Laurels Off The Lekki Epe Expressway Abijo Ajah Lagos ,70000000,5,5,6,2023-05-26,Lagos,Ajah
7822,Newly Built 5bedroom Fully Detached Duplex With Swimming Pool For Sale In Igboefon, In A Gated And Secured Estate Igbo Efon Lekki Lagos ,210000000,5,5,6,2023-05-26,Lagos,Lekki
7823,Lovely 4 Bedroom Terrace Duplex With Lovely Facilities For Sale In Lekki Phase 1, Lekki Phase 1 Lekki Phase 1 Lekki Lagos ,100000000,4,4,0,2023-05-26,Lagos,Lekki
7824,Luxury & Massive Self Serviced 4 Bedroom Terrace, Lekki Phase 1 Lekki Lagos ,180000000,4,4,5,2023-05-26,Lagos,Lekki
7825,Ikeja Gra Exquisite Luxury 5bed Detached Duplex, Ikeja Gra Luxury Built 5bed Duplex Ikeja Gra Ikeja Lagos ,260000000,5,7,7,2023-05-26,Lagos,Ikeja
7826,Newly Built 4bedroom Terrace Duplex For Sale In Ikota, Ikota Lekki Lagos ,64000000,4,4,5,2023-05-26,Lagos,Lekki
7827,Exquisite 4bedroom Terrace Duplex With A Room, Lekki Phase 1 Luxury Duplex Lekki Phase 1 Lekki Lagos ,135000000,4,6,6,2023-05-26,Lagos,Lekki
7828,Contemporary 5 Bedroom Fully Detached For Sale, Ajah Lagos ,160000000,5,5,6,2023-05-26,Lagos,Ajah
7829,Well Built 4 Bedroom Terrace Duplex With A Room Maids Quarter For Sale In Lekki Phase 1, Lekki Phase 1 Lekki Lagos ,125000000,4,4,5,2023-05-26,Lagos,Lekki
7830,Luxury 3 And 4bedrooms Terrace Duplex, Chevor Toll Luxiry 3 $ 4 Duplex Chevron Drive Lekki Lagos ,62000000,3,5,5,2023-05-26,Lagos,Lekki
7831,3 Bedroom Semi Detached Bungalow, Imperial Court Arepo Lagos Ibadan Express Way Arepo Lagos Extension Ogun ,25000000,3,3,4,2023-05-26,Ogun,Extension
7832,Affordable Off Plan 4 Bedroom Terrace Duplex In A Shared Compound," Off Adenike Olotun Street, Ikota Gra, Ikota, Lekki, Lagos Ikota Lekki Lagos ",60000000,4,4,5,2023-05-27,Lagos,Lekki
7833,Newly Built 4bedroom Terrace Duplex, Ologolo Lekki Lagos ,95000000,4,4,5,2023-05-26,Lagos,Lekki
7834,Exquisitely Finished 4 Bedroom Semi Detached Duplex., Lekki Luxury Duplex Ologolo Lekki Lagos ,85000000,4,6,6,2023-05-26,Lagos,Lekki
7835,Magodo Gra Luxury 4bed Duplex, Magodo Isheri Ikeja Lagos ,74000000,4,5,6,2023-05-26,Lagos,Ikeja
7836,3 Bedroom Semi Detached Duplex With Bq," Paragon Terraces & Duplexes Smart Homes Meridian Boulevard, Abraham Adesanya, Lekki Scheme Abraham Adesanya Ajah Lagos ",67500000,3,3,4,2023-05-26,Lagos,Ajah
7837,Brand New 4 Bedroom Luxury Semi Detached, Off Orchid Road Ikota Lekki Lagos ,95000000,4,4,5,2023-05-26,Lagos,Lekki
7838,Newly Built 4 Bedroom Fully Detached Duplex Wt Bw, Omole Phase Luxury Tastefully Finished 4 Bed Duplex Omole Ikeja Lagos ,120000000,4,6,0,2023-05-26,Lagos,Ikeja
7839,Brand New 4 Bedroom Luxury Fully Detached, Off Orchid Road Lekki Lagos. Ikota Lekki Lagos ,89000000,4,4,5,2023-05-26,Lagos,Lekki
7840,4 Bedroom Terrance With Attached Bq, Vineyard Terrances Hi Life Estate Ogombo Road Abraham Adesanya Ajah Lagos ,80000000,4,4,5,2023-05-26,Lagos,Ajah
7841,Exquisitely And Contemporary Built 3bedroom Terrace Duplex For Sale In Ajah, Sangotedo Ajah Lagos ,40000000,3,3,4,2023-05-26,Lagos,Ajah
7842,Luxury 2 Bedroom Apartments With A Bq Within A Serene Gated Close Off Gbangbala Road Ikate, Off Gbangbala Road. Ikate Elegushi Lekki Lagos ,70000000,2,2,3,2023-05-27,Lagos,Lekki
7843,Luxury 1 Bedroom Apartment Available At Chevy Castle Apartment, Chevy Castle Apartment Chevron Drive Lekki Lagos Top Notch Luxury Estate Chevron Drive Lekki Lagos ,48000000,1,2,2,2023-05-26,Lagos,Lekki
7844,Luxury Brand New 4 Bedroom Terrance, Ikoyi Ikoyi Lagos ,300000000,4,4,5,2023-05-26,Lagos,Ikoyi
7845,2 Bedroom Terrance Duplex, Amity Estate Sangotedo Ajah Lagos ,27000000,2,2,3,2023-05-26,Lagos,Ajah
7846,3 Bedroom Apartment For Sale, Victoria Island Victoria Island Lagos ,170000000,3,0,0,2023-05-26,Lagos,Island
7847,Automated & Fully Serviced 3 Bedroom Maisonette For Sale, Orchid Lekki Lagos ,68000000,3,3,4,2023-05-26,Lagos,Lekki
7848,Luxury 3 Bedroom Terrance Duplex, Appleton Court Ajiwe Abraham Adesanya Ajah Lagos ,60000000,3,3,4,2023-05-26,Lagos,Ajah
7849,Quick Distress Sale......2bed Terrace, Lekki Lovely 2bed Terrace Ikota Lekki Lagos ,38000000,2,3,3,2023-05-26,Lagos,Lekki
7850,Luxury Newly Built 5 Bedroom Fully Detached Duplex, Old Ikoyi Ikoyi Ikoyi Lagos ,900000000,5,5,6,2023-05-26,Lagos,Ikoyi
7851,Newly Built 5bedroom Fully Detached Duplex For Sale In Lekki County Homes, Lekki County Homes Ikota Lekki Lagos ,185000000,5,5,6,2023-05-26,Lagos,Lekki
7852,Classy 5 Bedroom Duplex, Dowen Estates Ologolo Lekki Lagos ,250000000,5,5,6,2023-05-26,Lagos,Lekki
7853,"Luxury , Exquisite Magodo Gra 4 Bedroom Fully Detach Duplex", Magodo Gra 1 Luxury Exquisite Fully Detached Duplex Magodo Shangisha Ketu Lagos ,110000000,4,6,0,2023-05-26,Lagos,Ketu
7854,Decently Finished 4 Bedroom Semi Detached Duplex, Lekki Ajah Lagos ,85000000,4,5,6,2023-05-29,Lagos,Ajah
7855,Massive 2 Houses Of 8 Unit Of 2 Bedroom Flat And 4 Unit Of Self Contain Is Now For Sale In Hitech Estate Alasia Aah Lag, Alasia Hitech Estate Abraham Adesanya Ajah Lagos ,110000000,20,28,0,2023-05-26,Lagos,Ajah
7856,Newly Built 6 Bedroom Fully Detached Duplex For Sale In Ikoyi, Ikoyi Ikoyi Lagos ,1800000000,6,6,7,2023-05-26,Lagos,Ikoyi
7857,Lekki Luxury Exquisite 2 $ 3 Bed Maisonette Duplex, 2min Lekki Phase 1 Luxury Delightable 2 $ 3 Bed Maisonette Ikate Elegushi Lekki Lagos ,62000000,2,4,0,2023-05-26,Lagos,Lekki
7858,Exquisitely And Contemporary Built 4bedroom Terrace Duplex For Sale In Orchid, Orchid Chevron Drive Lekki Lagos ,65000000,4,4,5,2023-05-26,Lagos,Lekki
7859,Magodo Luxury 4 Bed Duplex, Magodo Ikeja Lixury 4 Bed Duplex Magodo Isheri Ikeja Lagos ,87000000,4,6,6,2023-05-26,Lagos,Ikeja
7860,Exquisitely Finished 4 Bedroom Terrace Duplex., Lekki Luxury Duplex Ologolo Lekki Lagos ,90000000,4,6,6,2023-05-26,Lagos,Lekki
7861,Finished 2bedroom Duplexes, Before Vgc Victoria Garden City Lekki Lagos ,45000000,2,2,3,2023-05-26,Lagos,Lekki
7862,Luxuriously Finished 5 Bedroom Duplex In An Estate, In An Estate Omole Ikeja Lagos ,360000000,5,5,6,2023-05-26,Lagos,Ikeja
7863,Lekki Ikate Tastefully Finished 4bedroom Terrace Duplex, Lekki Ikate Luxury 4 Bed Terrace Duplex Ikate Elegushi Lekki Lagos ,115000000,4,5,6,2023-05-26,Lagos,Lekki
7864,Tastefully Finished 4 Bedroom Semi Detached Duplex, Ikota Villa Ikota Lekki Lagos ,90000000,4,4,5,2023-05-27,Lagos,Lekki
7865,Discounted Luxury Built Spacious 4bedroom Duplex, Magodo Gra Luxury Spacious Affordable Duplex Magodo Isheri Ikeja Lagos ,74000000,4,6,0,2023-05-26,Lagos,Ikeja
7866,Exquisitely And Contemporary Built 4bedroom Fully Detached Duplex For Sale In Ajah, In A Gated Estate Ajah Lagos ,95000000,4,4,5,2023-05-26,Lagos,Ajah
7867,Exquisitely And Contemporary Built 5bedroom Fully Detached Duplex For Sale In Ajah, In A Gated Estate Ajah Lagos ,105000000,5,5,6,2023-05-26,Lagos,Ajah
7868,Exquisitely And Contemporary Built 4bedroom Fully Detached Duplex For Sale In Ajah, In A Gated Estate Ajah Lagos ,75000000,4,4,5,2023-05-26,Lagos,Ajah
7869,Lekki Chevron Contemporary 4 Bedroom Terrace Duplex, Chevron Drive Lekki Contemporary 4bedroom Terrace Duplex Chevron Drive Lekki Lagos ,52000000,4,6,0,2023-05-26,Lagos,Lekki
7870,Superb Luxury & Spacious Lekki Duplex, Lekki Superb Luxury & Spacious Lekki Duplex Lekki Expressway Lekki Lagos ,67999999,4,7,0,2023-05-26,Lagos,Lekki
7871,Newly Built 5bedroom Fully Detached Duplex For Sale In Chevron, Chevron Drive Lekki Lagos ,300000000,5,5,6,2023-05-26,Lagos,Lekki
7872,Newly Built 5bedroom Fully Detached Duplex For Sale In Agungi, In A Gated And Secured Estate Agungi Lekki Lagos ,140000000,5,5,6,2023-05-26,Lagos,Lekki
7873,Newly Built 5bedroom Fully Detached Duplex For Sale In Agungi, In A Gated And Secured Estate Agungi Lekki Lagos ,140000000,5,5,6,2023-05-26,Lagos,Lekki
7874,Smart Luxury 4 Bed $ 2 Bed Duplex Wt Bq, Chevron Axis Luxury Smart 2 Bed $ 4 Bed Duplex Chevron Drive Lekki Lagos ,47000000,2,3,3,2023-05-26,Lagos,Lekki
7875,Newly Built 4 Bedroom Semi Detached Duplex For Sale In Orchid, Orchid Chevron Drive Lekki Lagos ,75000000,4,4,5,2023-05-26,Lagos,Lekki
7876,Unveiling An Exquisite Oasis: Luxurious 4 Bedroom Terrace Duplex In Prime Location, Victoria Garden City Estate Lagos. Victoria Garden City Lekki Lagos ,220000000,4,4,5,2023-05-29,Lagos,Lekki
7877,Exquisitely And Contemporary Built 4bedroom Semi Detached Duplex For Sale In Agungi, Agungi Lekki Lagos ,100000000,4,4,5,2023-05-26,Lagos,Lekki
7878,Fantastic Tastefully Finished 4 Bed Duplex Wt Bq, Ikeja Magodo Gra 1 Fantastic 4 Bed Duplex Magodo Isheri Ikeja Lagos ,89000000,4,6,6,2023-05-26,Lagos,Ikeja
7879,Newly Built 4 Bedroom Terrace Duplex For Sale In Lekki Phase1, Lekki Phase 1 Lekki Lagos ,170000000,4,4,5,2023-05-26,Lagos,Lekki
7880,Newly Built 4bedroom Semi Detached Duplex For Sale In Chevron, Chevron Drive Lekki Lagos ,90000000,4,4,5,2023-05-26,Lagos,Lekki
7881,Capacious & Exquisitely Built 5 Bedroom Fully Detached Duplex In A Secured And Habitable Estate With Great Ambience, Lekky County Homes Ikota Lekki Lagos ,200000000,5,5,6,2023-05-26,Lagos,Lekki
7882,Luxury Brand New 4 Bedroom Terrace, Old Ikoyi Ikoyi Ikoyi Lagos ,450000000,4,4,5,2023-05-26,Lagos,Ikoyi
7883,Newly Built 5 Bedroom Fully Detached Duplex With Swimming Pool For Sale In Ologolo, Ologolo Lekki Lagos ,290000000,5,5,6,2023-05-26,Lagos,Lekki
7884,Newly Built 5bedroom Semi Detached Duplex For Sale In Second Tollgate Lekki, Second Tollgate Lekki Lekki Phase 2 Lekki Lagos ,250000000,5,5,6,2023-05-26,Lagos,Lekki
7885,Newly Built 4bedroom Semi Detached Duplex For Sale, Second Tollgate Lekki Lekki Phase 2 Lekki Lagos ,80000000,4,4,5,2023-05-26,Lagos,Lekki
7886,"*🔆fully Automated Contemporary Styled 5 Bed Fully Detached Duplex With Private Elevator, Cinema And Swimming Pool", Ikoyi Lagos ,1200000000,5,5,6,2023-05-29,Lagos,Ikoyi
7887,Brand New 5 Unite 4 Bedroom Terrace, Lekki Phase 1 Lekki Lagos ,170000000,4,4,5,2023-05-26,Lagos,Lekki
7888,Newly Built 4 Bedroom Fully Detached Duplex With Swimming Pool For Sale In Orchid, Orchid Chevron Drive Lekki Lagos ,180000000,4,4,5,2023-05-26,Lagos,Lekki
7889,Newly Built 5 Bedroom Fully Detached Duplex With Swimming Pool For Sale In Chevron, Chevron Drive Lekki Lagos ,190000000,5,5,6,2023-05-26,Lagos,Lekki
7890,Newly Built 5 Bedroom Fully Detached Duplex With Swimming Pool, Chevron Drive Lekki Lagos ,450000000,5,5,6,2023-05-26,Lagos,Lekki
7891,Luxury 4 Bedroom Semi Detached Duplex With Bq, Banana Island Ikoyi Lagos ,750000000,4,4,5,2023-05-26,Lagos,Ikoyi
7892,Newly Built 4 Bedroom Terrace Duplex With Swimming Pool, Osapa Lekki Lagos ,85000000,4,4,5,2023-05-26,Lagos,Lekki
7893,Well Maintained 4 Bedroom Detached House, Ikate Elegushi Lekki Lagos ,75000000,4,4,5,2023-05-26,Lagos,Lekki
7894,5 Bedroom Fully Detached Duplex, Ajah Lagos ,170000000,5,5,6,2023-05-26,Lagos,Ajah
7895,Luxury 5 Bedroom Semi Detached House For Sale, Osapa Lekki Lagos ,650000000,5,5,6,2023-05-26,Lagos,Lekki
7896,Exquisitely And Contemporary Built 4bedroom Fully Detached Duplex For Sale In Chevron, Chevron Drive Lekki Lagos ,145000000,4,4,5,2023-05-26,Lagos,Lekki
7897,Brand New 5 Bedroom Fully Detached Duplex, Nicon Town Lekki Phase 2 Lekki Lagos ,800000000,5,5,6,2023-05-26,Lagos,Lekki
7898,Luxury Finished 4 Bedroom Terrace, Orchid Road Lafiaji Lekki Lagos ,65000000,4,4,5,2023-05-27,Lagos,Lekki
7899,Brand New 4 Bedroom Terrace Duplex Available, Orchid Road Lekki Lagos ,65000000,4,4,5,2023-05-26,Lagos,Lekki
7900,5 Bed Fully Detached Duplex With Swimming Pool And Rooftop Terrace, Osapa Lekki Lagos ,350000000,5,0,0,2023-05-26,Lagos,Lekki
7901,Furnished To Standard 4 Bedrooms Terrace Duplexes With Swimming Pool, Chevron Drive Lekki Lagos ,80000000,4,0,0,2023-05-26,Lagos,Lekki
7902,Beautiful Finished 4bedroom Duplex With 2seating Room And 1 Attached Bq, Apo Abuja Phase 2 Abuja ,120000000,4,0,0,2023-05-26,Abuja,2
7903,Newly Built 4bedroom Fully Detached Duplex, Idado Lekki Lagos ,200000000,4,4,5,2023-05-26,Lagos,Lekki
7904,Exquisitely And Contemporary Built 2bedroom Terrace Duplex For Sale In Ajah, Ajah Ajah Lagos ,43000000,2,2,3,2023-05-26,Lagos,Ajah
7905,Newly Built 5 Bedroom Fully Detached Duplex For Sale In Orchid, Orchid Chevron Drive Lekki Lagos ,150000000,5,5,6,2023-05-26,Lagos,Lekki
7906,5 Bedroom Detached Duplex With Bq And Cinema," Oral Estate,lekki, Lagos Lekki Lagos ",270000000,5,5,0,2023-05-26,Lagos,Lekki
7907,Brand New 4 Bedroom Semi Detached House, Chevron Drive Lekki Lagos ,100000000,4,4,5,2023-05-26,Lagos,Lekki
7908,3 Units Of Executive 5 Bedroom Fully Detached Duplex With Swimming Area, Osapa Lekki Lagos ,370000000,5,5,6,2023-05-29,Lagos,Lekki
7909,Beautifully Finished 4 Bedroom Detached House, Richmond Estate Lekki Phase 1 Lekki Lagos ,160000000,4,0,0,2023-05-26,Lagos,Lekki
7910,5 Bedroom Duplex With Maids Room, Ikate Elegushi Lekki Lagos ,185000000,5,5,0,2023-05-26,Lagos,Lekki
7911,A Lovely 5bedroom Duplex With A 3bedroom Flat Behind And A Bush Bar For Sale In Ajah And Can Also Be Used As A Hotel, Ajah Lagos ,210000000,5,5,6,2023-05-26,Lagos,Ajah
7912,4 Bedroom Semi Detached Duplex With Bq, Ajah Lagos ,110000000,4,0,0,2023-05-26,Lagos,Ajah
7913,Astonished Finished 3units Of Newly Built 4 Bedroom Semi Detached Duplex, Allen Avenue Ikeja Lagos ,125000000,10,0,0,2023-05-26,Lagos,Ikeja
7914,Newly Built 4bedroom Semi Detached Duplex For Sale In Ikate, Ikate Elegushi Lekki Lagos ,130000000,4,4,5,2023-05-26,Lagos,Lekki
7915,Well Built 5 Bedroom Detached Duplex, Ajah Ajah Lagos ,65000000,5,5,6,2023-05-26,Lagos,Ajah
7916,4 Bedroom Fully Detached Home, Orchid Lekki Lagos ,95000000,4,4,5,2023-05-26,Lagos,Lekki
7917,4 Bedroom Semi Detached Home For Sale, Ajah Lagos ,75000000,4,4,5,2023-05-26,Lagos,Ajah
7918,5 Bedroom Detached Home For Sale, Chevron Lekki Lagos ,130000000,5,5,6,2023-05-26,Lagos,Lekki
7919,5 Bedroom Semi Detached Home For Sale, Chevron Lekki Lagos ,110000000,5,5,6,2023-05-26,Lagos,Lekki
7920,Comfort Luxury Guaranteed 3 Bedroom Room Semi Detached Duplex With Bq, Sangotedo Ajah Lagos ,58000000,3,3,4,2023-05-29,Lagos,Ajah
7921,Newly Built & Beautifully Finished 5 Bedroom Detached House, Osapa Lekki Lagos ,450000000,5,5,6,2023-05-26,Lagos,Lekki
7922,Tastefully Finished 5 Bedroom Fully Detached Duplex With Bq, Lekki Lagos ,249999999,5,6,6,2023-05-26,Lagos,Lekki
7923,Brand New 6 Bedroom Fully Detached Duplex, Ikoyi Ikoyi Lagos ,500000000,6,6,7,2023-05-26,Lagos,Ikoyi
7924,9 Bedroom Mansion With 3 Rooms Bq, Lekki Phase 1 Lekki Lagos ,850000000,9,9,9,2023-05-26,Lagos,Lekki
7925,Tastefully Finished 4 Bedroom Semi Detached With Bq, Victoria Garden City Lekki Lagos ,100000000,4,4,5,2023-05-26,Lagos,Lekki
7926,Newly Built 4bedroom Semi Detached Duplex For Sale In Orchid, Orchid Lekki Lagos ,90000000,4,4,5,2023-05-26,Lagos,Lekki
7927,Newly Renovated & Self Serviced 4 Bedroom Terrace, Ikate Elegushi Lekki Lagos ,90000000,4,4,5,2023-05-26,Lagos,Lekki
7928,4 Bedroom Detached Home For Sale, Ajah Lagos ,130000000,4,4,5,2023-05-26,Lagos,Ajah
7929,Spacious 5 Bedroom Terrace, Off Banana Island Road Ikoyi Ikoyi Lagos ,350000000,5,5,6,2023-05-26,Lagos,Ikoyi
7930,Luxury Finished 4 Bedroom Terrace, Orchid Road Lafiaji Lekki Lagos ,65000000,4,4,5,2023-05-27,Lagos,Lekki
7931,Super Luxury Lekki Terrace*, Lekki Ikate Luxury 4 Bed Terrace Duplex Lekki Lagos ,135000000,4,5,6,2023-05-26,Lagos,Lekki
7932,Super Luxury Brand New 4 Bedroom Fully Detached, Ikoyi Ikoyi Lagos ,600000000,4,4,5,2023-05-26,Lagos,Ikoyi
7933,Brand New Finished 3 Bedroom Terrace, Ikate Elegushi Lekki Lagos ,100000000,3,3,4,2023-05-26,Lagos,Lekki
7934,Luxury Tastefully Finished 4bed Duplex, Magodo Gra 1 Lovely Duplex Magodo Isheri Ikeja Lagos ,90000000,4,5,5,2023-05-26,Lagos,Ikeja
7935,Beautiful 5 Bedroom Detached Home For Sale, Orchid Lekki Lagos ,150000000,5,5,6,2023-05-26,Lagos,Lekki
7936,Lekki Luxury 6bedrooms Terraces*, Chevron Toll Gate /orchid Luxury 4 6bed Terrace D Chevron Drive Lekki Lagos ,90000000,6,7,7,2023-05-26,Lagos,Lekki
7937,Fully Automated Super Luxury 5 Bedroom Fully Detached Duplex, Chevron Drive Lekki Lagos ,240000000,5,5,6,2023-05-26,Lagos,Lekki
7938,Exquisitely Finished 4 Bedroom Semi Detached Duplex, Ologolo Lekki Lagos ,85000000,4,4,5,2023-05-26,Lagos,Lekki
7939,Newly Completed 4 Bedroom Semi Detached Home For Sale, Ologolo Lekki Lagos ,90000000,4,4,5,2023-05-26,Lagos,Lekki
7940,Newly Built 5bedroom Fully Detached Duplex For Sale In Orchid, Orchid Chevron Drive Lekki Lagos ,165000000,5,5,6,2023-05-26,Lagos,Lekki
7941,4 Bedroom Semi Detached Duplex For Sale, Ajah Lagos ,75000000,4,4,5,2023-05-26,Lagos,Ajah
7942,4 Bedroom Semi Detached With Bq, Victoria Garden City Lekki Lagos ,85000000,4,4,5,2023-05-27,Lagos,Lekki
7943,4 Bedroom Fully Detached Home For Sale, Chevron Toll Gate Lekki Lagos ,140000000,4,4,5,2023-05-26,Lagos,Lekki
