,description,Address,Price,Bedroom,Bathroom,Toilet,date,State,Location
5660,Luxury 5 Bedroom Duplex All Ensuite With 2 Bedroom Ensuite Boys Quarters And 2 Bedrooms Security House Located In A Nice Environment, Aladinma/prefab Owerri Owerri Imo ,160000000,5,5,6,2023-05-28,Imo,Owerri
5661,Tastefully Finished 5bedrooms Fully Detached Duplex House With Bq+ Swimmingpool And Cinema, Orchid Hotel Road Lekki Lagos Lekki Phase 2 Lekki Lagos ,300000000,5,5,6,2023-05-28,Lagos,Lekki
5662,3 Bedrooms Bungalow All Ensuite With Security House.," Akachi Pocket Layout, Owerri Owerri Owerri Imo ",37000000,3,3,4,2023-05-28,Imo,Owerri
5663,85% Completed 5 Bedrooms Duplex All Ensuite Located In A Nice Environment, Located At Irete Owerri Owerri Imo ,40000000,5,5,6,2023-05-28,Imo,Owerri
5664,Neatly Finished 4 Bedroom Detached Duplex, Ikota Villa Ikota Lekki Lagos ,90000000,4,4,5,2023-05-27,Lagos,Lekki
5665,A Spacious 8 Bedroom Duplex Located In A Serene Environment, Works Layout Owerri Owerri Imo ,70000000,8,8,9,2023-05-28,Imo,Owerri
5666,Brand New Modern 4 Bedroom Duplex All Ensuite With A Security House, Located In Owerri Owerri Owerri Imo ,55000000,4,4,5,2023-05-28,Imo,Owerri
5667,"6 Bedroom Detached Building With Block Of Flats Directly On Ogudu Road. Suitable For Showroom, Bank, Launge Mall, Hospital Etc 250 Million", Ogudu Road Ogudu Ketu Lagos ,250000000,6,5,5,2023-05-28,Lagos,Ketu
5668,4 Bedroom Semi Detached Duplex In Ogudu Gra, Off Ina Obasi Street Ogudu Gra Ketu Lagos ,100000000,4,4,5,2023-05-28,Lagos,Ketu
5669,Brand New 3 No. Of 4 Bedroom Duplex. 1 Detached & 2 Semi Detached 150m &130m Each Separate Compound At Ogudu Gra . Instalmental Payment Allowed, Off Falemi Street Ogudu Gra Ketu Lagos ,150000000,4,4,5,2023-05-28,Lagos,Ketu
5670,"12 Rooms Bungalow At Off Estate Road, Alapere Ketu. The Property Can Be Converted To Multiple Mini Flats Or 3 Bedroom Bungalow. Price: 25 Million", Off Estate Road Alapere Ketu Lagos ,25000000,10,2,2,2023-05-28,Lagos,Ketu
5671,"2 Bedroom Flat Fenced Round With Gate On Half Plot Of Land At Igbopa London, Off Ijede Road By Abule Eko, Ikorodu, Lagos. Price: 6.5 Million"," Igbopa London, Off Abule Eko Bus Stop Along Ijede Road Ikorodu Ikorodu Ikorodu Road Lagos ",6500000,2,1,1,2023-05-28,Lagos,Road
5672,"Various Bungalows That Can Be Renovated Or Demolished For New Development At Ketu, Alapere, Lagos. Prices: 25 & 30 Million", Ketu Axis Alapere Ketu Lagos ,25000000,0,0,0,2023-05-28,Lagos,Ketu
5673,Cofo Titled Corner Piece In Lekki Garden, Lbs Lekki Garden Phase 3 Abraham Adesanya Ajah Lagos ,40000000,3,4,4,2023-05-28,Lagos,Ajah
5674,4 Bedroom Duplex With Cofo Title, Abijo Just After Shoprite Abijo Ajah Lagos ,17000000,4,6,6,2023-05-28,Lagos,Ajah
5675,"Completed 2 Bedroom Flat & 3no. Of Uncompleted Mini Flats At The Back On Full Plot At Iberefu Estate, Awobo, Igbogbo, Ikorodu. 12 Million", Igbogbo Ikorodu Ikorodu Road Lagos ,12000000,0,0,0,2023-05-28,Lagos,Road
5676,Magnificent 4 Bedroom Terrace Duplex With Self Compound," Off Adenike Olotun Street, Ikota Gra, Lekki, Lagos Ikota Lekki Lagos ",65000000,4,4,5,2023-05-27,Lagos,Lekki
5677,"A Bungalow That Consists Of 4 Rooms At Back & A Hall On The Right Side Seating On Full Plot At Majidu By Ogoloto Bus Stop, Ikorodu. Just About 4 Building From The Express. Title: Cofo (certificate Of Occupancy) Price: 12 Million"," Majidu, 4 Plots From Lagos Road Ikorodu Ikorodu Road Lagos ",12000000,0,0,0,2023-05-28,Lagos,Road
5678,Brand New 6 Bedroom Detached Duplex On 3 Floors At Ogudu Gra Zone A4. Title: Cofo Price: 350 Million, Ogudu Gra Zone A4 Ogudu Gra Ketu Lagos ,350000000,6,0,0,2023-05-28,Lagos,Ketu
5679,"Demolisheble Bungalow Suitable For Commercial Or Residential At Ipetedo Street (inside Ogudu Market), Off Ogudu Road", Ipetedo Street Ogudu Ogudu Ketu Lagos ,40000009,0,0,0,2023-05-28,Lagos,Ketu
5680,5 Bedroom Semi Detached Duplex With Bq, Lekki Phase 1 Lekki Lagos Lekki Phase 1 Lekki Lagos ,230000000,5,6,6,2023-05-28,Lagos,Lekki
5681,Nice Corner Piece Building, Abraham Adesanya Estate Abraham Adesanya Ajah Lagos ,32000000,3,4,4,2023-05-28,Lagos,Ajah
5682,Brand New 4 Bedroom Detached Duplex With Bq At Ogudu Gra. Price: 250 Million, Zone A4 Ogudu Gra Ogudu Gra Ketu Lagos ,250000000,4,4,5,2023-05-28,Lagos,Ketu
5683,3 Bedroom Apartment, Abraham Adesanya Abraham Adesanya Ajah Lagos ,32000000,3,4,4,2023-05-28,Lagos,Ajah
5684,"Uncompleted 4 Bedroom Bungalow On Full Plot At Emuren, Behind Caleb University & Before Popular Andron Homes Estate, Off Imota Road, Ikorodu. 10 Million Asking"," Emuren, By Caleb University Ikorodu Ikorodu Road Lagos ",10000000,4,4,5,2023-05-28,Lagos,Road
5685,Smart Luxury 5bedroom Detached Duplex Victory Park Estate, Victory Park Estate Osapa London Lekki Phase 1 Osapa Lekki Lagos ,400000000,5,7,7,2023-05-28,Lagos,Lekki
5686,A Luxurious Furnished 6 Bedroom Waterview Detached Duplex With State Of The Art Facilities, Shoreline Estate Ikoyi Lagos ,-2147483648,6,6,6,2023-05-27,Lagos,Ikoyi
5687,Newly Built 4 Bedroom Luxury Duplex, Creek Estate Ikate Elegushi Lekki Lagos ,250000000,4,5,5,2023-05-28,Lagos,Lekki
5688,"Uncompleted 5 Bedroom Semi Detached Duplex 99% At Ogudu Gra Phase 2, Lagos", Ogudu Gra Phase Two Ogudu Gra Ketu Lagos ,150000000,4,5,4,2023-05-28,Lagos,Ketu
5689,"A Building Which Consist Of 1 Bedroom,2 Bedroom And 3 Bedroom With A Duplex", Igando Oloja Ibeju Lekki Ajah Lagos ,5000000,3,3,3,2023-05-28,Lagos,Ajah
5690,"3bedroom With Cofo Document,3shop,2selfcon 590sqm", Pz Estate Ogijo Ikorodu Lagos Ikorodu Ikorodu Road Lagos ,12000000,3,3,3,2023-05-28,Lagos,Road
5691,4 Bedroom Detached Duplex With Bq," Ogudu Eleshin, End Of Ramat Crescent Ogudu Ketu Lagos ",80000000,4,4,4,2023-05-28,Lagos,Ketu
5692,3 Bedroom Semi Detached Bungalow, Abraham Adesanya Estate Abraham Adesanya Ajah Lagos ,30000000,3,4,4,2023-05-28,Lagos,Ajah
5693,Governor’s Consent Terrace By Abraham Adesanya Roundabout, Vineyard Terraces Is Sitting On 100%dry Land In Ogombo 2 Mins Drive From Abraham Adesanya Roundabout Ogombo Ajah Lagos ,80000000,4,4,5,2023-05-27,Lagos,Ajah
